OBJECTID,FID_precipitation_Output_Features,lat,lon,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
5530,15778,33.375,112.375,864.829,980.518,671.592,731.522,902.371,922.671,1045.335,733.088,782.822,791.962,825.057,704.127,731.061,638.658,675.692,830.453,1229.578,687.982,560.395,878.228,844.446,691.961,748.341,932.523,588.597,826.223,608.003,773.85,653.918,794.449,504.967,1058.438,850.017,749.352,763.29,953.08,915.299,734.566,645.209,779.124,708.868,985.81,699.12,742.732,566.819,795.149,620.838,664.508,1009.747,526.418,862.446,616.613,1205.001,560.777,755.472,1075.035,729.057,976.399,670.026,700.22,759.059,824.013,1057.999,779.817,623.519,758.372,700.956,800.936,836.315
6332,17026,34.625,104.375,517.742,562.29,548.684,474.542,521.098,526.996,562.485,489.734,482.022,435.779,511.524,538.233,486.419,615.103,507.508,542.302,649.221,419.148,602.8,745.321,547.95,463.717,586.905,421.703,410.191,648.533,485.363,521.002,521.926,506.588,652.429,492.529,503.198,542.589,408.551,578.381,638.235,623.684,464.255,404.958,567.78,503.324,578.84,455.768,572.758,561.552,458.505,458.256,436.872,386.091,521.413,520.737,473.78,454.754,418.591,634.969,463.661,556.808,478.971,521.602,509.391,454.408,446.359,551.152,516.097,617.017,573.081,457.876,508.362
1948,10091,27.875,98.625,1085.835,1025.613,916.031,988.404,981.8,920.811,828.48,1144.848,995.54,958.479,1077.492,1107.224,799.82,1051.429,1136.654,957.141,1001.259,905.986,1153.898,869.961,935.954,746.319,1011.296,863.439,738.491,1094.993,1002.84,863.85,728.098,1074.794,1068.749,866.554,935.308,668.651,728.461,591.121,1056.542,907.595,776.919,709.852,982.247,995.865,956.656,943.262,816.868,803.805,805.399,1137.5,992.17,1084.253,1034.713,1019.634,1137.885,844.703,1238.2,799.255,1010.935,683.174,947.146,1083.513,949.702,782.814,1121.291,686.272,974.889,967.031,614.376,738.846,948.53
14237,29768,47.125,89.875,128.309,115.932,111.374,175.909,157.946,168.633,197.677,144.361,158.696,196.808,215.472,181.698,181.889,160.428,89.028,102.184,146.651,127.902,169.563,137.897,144.256,257.875,191.594,191.037,111.96,178.876,87.223,108.062,172.293,148.842,116.387,199.051,153.506,157.876,92.893,204.805,274.834,118.689,241.083,251.064,178.693,155.722,163.016,165.22,274.261,235.314,250.222,192.212,221.484,191.226,173.123,198.993,221.314,196.707,149.624,247.546,155.678,205.235,159.231,153.652,139.358,136.426,218.651,200.248,197.919,229.508,178.72,158.225,245.561
2628,11338,29.125,90.375,938.608,848.772,780.7,1002.373,1083.647,772.006,1031.461,975.281,675.472,647.168,708.599,906.235,985.528,820.955,1375.974,960.87,817.56,700.824,957.22,540.733,950.534,572.157,840.72,836.667,729.321,880.913,843.004,737.942,688.072,1259.904,1052.026,862.953,957.842,699.896,529.816,533.593,819.054,1017.577,852.916,776.486,762.241,725.126,1018.044,891.523,671.131,857.663,731.454,819.52,864.521,743.318,1025.949,1018.46,1019.861,973.194,962.954,997.59,1024.794,857.208,755.726,926.728,966.518,649.492,777.47,883.079,739.99,1059.819,1039.946,633.085,495.763
13870,28852,46.125,116.875,305.466,271.265,237.648,187.723,305.919,276.868,317.648,264.298,328.435,294.754,296.89,415.202,307.109,279.173,220.626,230.493,342.522,172.547,212.672,284.788,233.117,302.067,309.114,247.853,196.9,347.725,287.969,196.729,254.97,269.122,272.014,254.296,233.275,310.927,224.439,229.547,212.954,173.33,151.788,315.579,270.93,279.493,461.13,341.085,351.232,367.881,304.975,198.467,290.395,213.651,492.637,197.82,233.291,202.577,311.374,257.653,198.326,177.723,157.06,163.545,304.894,273.313,213.96,203.734,342.388,250.554,242.546,240.693,230.265
11155,23901,41.375,95.125,67.882,67.266,46.055,52.924,69.167,28.307,40.338,41.614,28.452,25.113,48.927,50.12,23.859,37.732,42.828,33.451,48.898,26.562,43.929,36.019,23.655,60.27,46.641,73.823,49.799,69.904,34.876,44.577,64.573,52.451,34.444,97.105,23.319,59.358,39.052,48.328,54.755,16.478,19.402,45.939,53.838,12.654,28.421,24.424,28.842,65.834,37.424,32.787,41.655,48.797,28.083,30.413,39.464,39.967,51.372,61.643,37.742,42.058,43.069,77.694,19.063,29.065,37.677,45.73,78.46,47.022,44.238,46.615,74.607
10541,23091,40.625,84.625,38.987,56.214,49.32,34.359,58.951,51.369,72.972,32.498,39.611,24.04,77.309,39.736,40.436,32.604,67.836,36.92,63.237,40.734,66.641,29.359,37.861,50.627,43.345,73.647,51.173,39.805,50.546,37.956,55.356,50.117,55.244,69.082,16.047,86.176,71.499,37.414,41.114,39.067,43.655,84.847,72.531,86.488,59.219,59.872,86.616,77.784,27.052,68.891,56.442,54.499,68.742,57.456,46.252,38.791,46.456,93.223,55.527,73.626,44.446,68.338,66.876,39.071,57.648,58.242,46.366,85.19,48.608,75.289,99.493
5448,15696,33.375,91.875,261.844,253.781,253.625,250.499,268.243,234.255,265.082,220.73,150.523,240.171,227.115,185.99,217.125,292.111,237.944,304.54,216.615,286.946,226.352,289.704,228.925,229.362,237.407,315.107,253.603,209.093,322.443,241.961,248.014,245.486,217.632,200.395,290.365,294.383,295.4,259.501,190.964,338.848,174.034,220.87,242.831,281.523,222.477,265.273,219.466,287.163,171.226,240.296,233.744,225.188,269.907,292.375,275.535,286.683,317.272,273.333,281.74,332.296,220.209,306.469,317.819,365.965,296.548,353.217,269.577,241.125,377.378,194.882,284.969
2228,10614,28.375,101.375,939.865,897.971,771.143,1003.656,996.784,769.014,1004.304,816.831,953.834,842.929,828.557,815.071,819.806,704.546,792.227,812.719,835.941,1107.079,897.638,761.833,1068.483,795.725,825.094,753.073,672.773,818.492,1068.795,768.032,786.981,748.94,973.846,843.536,959.114,841.13,818.891,728.101,793.89,880.616,923.062,964.817,837.675,936.678,949.561,942.993,744.875,903.073,691.222,815.873,772.25,770.553,1097.197,1042.012,915.861,1034.182,915.222,921.989,1010.007,811.824,746.006,869.225,892.974,811.033,871.63,687.93,876.234,869.22,902.797,837.717,948.667
